word	count	sentence	rewritten
dishwashers	1	We have two dishwashers in the big kitchen.	We have two dish washing machines in the big kitchen.
displacement	1	The shortest way from one place to another is called displacement.	The shortest way from one place to another is called the straight-line path.
displays	1	I have two liquid crystal displays on my desk.	I have two flat screens on my desk.
dispute	1	Sometimes two countries do not agree about land, and that is a dispute.	Sometimes two countries do not agree about land, and that is a fight.
dissolves	1	Salt dissolves in water, but sand does not.	Salt melts away in water, but sand does not.
distillate	1	That clean liquid is called the distillate.	That clean liquid is called the pure water.
dividend	1	The number you share is called the dividend.	The number you share is called the big number.
divine	1	Dante Alighieri wrote a long poem called The Divine Comedy." Another important writer is Alessandro Manzoni, who wrote a story called "The Betrothed." Many Italian writers have won a big prize called the Nobel Prize for their stories and poems.	Dante Alighieri wrote a long poem called The Godly Comedy. Another important writer is Alessandro Manzoni, who wrote a story called The Betrothed. Many Italian writers have won a big prize called the Nobel Prize for their stories and poems.
divisible	1	A prime number is only divisible by one and itself.	A prime number can only be split evenly by one and itself.
divisor	1	A prime number must have exactly two different divisors, and one only has one divisor, which is one.	A prime number must have exactly two different numbers that can split it, and one only has one number that can split it, which is one.
divorced	1	Married, single, and divorced are words for people and love.	Married, single, and no longer married are words for people and love.
diyas	1	Then, we light small lamps called diyas.	Then, we light small lamps called little clay lamps.
dizziness	1	After a while, the dizziness went away.	After a while, the feeling of spinning went away.
dj	1	A DJ plays it by mixing different sounds together.	A music mixer plays it by mixing different sounds together.
djembes	1	I see two djembes on the floor.	I see two hand drums on the floor.
djokovic	1	A famous tennis player from Serbia is Novak Djokovic.	
djs	1	DJs use special tools like keyboards and drum machines to make music.	Music mixers use special tools like keyboards and drum machines to make music.
djurg	1	The old part of the city is called Gamla Stan, which means "Old Town.There is a big park on an island called Djurgården.	
dmz	1	The country is separated from South Korea by a special line called the DMZ.	
do-re-mi	1	I will sing Do-Re-Mi from The Sound of Music.	
dobr	1	She said Dobrý den to her teddy bear.	
docked	1	Two Soyuz are docked on the left side.	Two space ships are joined on the left side.
doctoring	1	Dentistry and eye doctoring both look at parts of your head.	Tooth fixing and eye fixing both look at parts of your head.
documents	1	The mail is important because it has documents for work.	The mail is important because it has papers for work.
dodge	1	They are very fast fliers and can dodge and turn quickly.	They are very fast fliers and can move away and turn quickly.
dog-like	1	He has the head of a bird or a dog-like animal.	
dogg	1	Many singers use short, fun names like Snoop Dogg or Eminem.	
doggie	1	A doggie door is a tiny door at the bottom for pets.	A pet door is a tiny door at the bottom for pets.
doggy	1	The pet dog has a wet, doggy smell after the rain.	The pet dog has a wet, dog smell after the rain.
dollar's	1	The dollar's value is one hundred cents.	The dollar is worth one hundred cents.
domino	1	It is like the first domino that falls and makes the next one fall.	It is like the first block that falls and makes the next one fall.
donatello	1	Michelangelo and Donatello both made stone people.	
donation	1	I put the old trousers in a bag for donation.	I put the old trousers in a bag to give away.
door's	1	The door's color is green.	The door is green.
doorknobs	1	We can stop the spread by cleaning toys and doorknobs.	We can stop the spread by cleaning toys and door handles.
doorstep	1	Lily found a brown parcel on the doorstep.	Lily found a brown box on the step outside the door.
dorm	1	A bedroom, a nursery, and a dorm room all have a bed for sleeping.	A bedroom, a baby's room, and a school sleep room all have a bed for sleeping.
dormitories	1	Some students live at the university in buildings called dormitories.	Some students live at the university in buildings called sleep halls.
dormitory	1	A complex, a hotel, and a dormitory are places where people live.	A big building, a hotel, and a sleep hall are places where people live.
dorms	1	Some students live in big houses called dorms on the school grounds.	Some students live in big houses called sleep halls on the school grounds.
dottie	1	A dung beetle named Dottie pushed a big ball of dirt.	
doubled	1	It makes a straight line where the flat thing is doubled over.	It makes a straight line where the flat thing is folded over.
doubling	1	For example, if you keep doubling 2, a logarithm tells you how many doublings make 8.	For example, if you keep making 2 twice as big, a log tells you how many times you made it twice as big to get 8.
doublings	1	For example, if you keep doubling 2, a logarithm tells you how many doublings make 8.	For example, if you keep making 2 twice as big, a log tells you how many times you made it twice as big to get 8.
douro	1	Porto sits next to a big river called the Douro.	
dragon's	1	Then the princess put her belt around the dragon's neck, and the dragon followed her.	Then the princess put her belt around the big lizard's neck, and the big lizard followed her.
dragonfruit	1	The fruit of some cacti, like dragonfruit and prickly pear, is eaten by people.	
drake	1	A baby duck is called a duckling, and a male duck is called a drake.	A baby duck is called a duckling, and a boy duck is called a drake.
drakensberg	1	It starts in the Drakensberg mountains and flows through South Africa and Namibia.	
dreamtime	1	They told stories about how the world was made, called the Dreamtime.	
druidism	1	Another is Druidism.	
ds	1	The Nintendo DS and PlayStation Portable are two kinds of handheld consoles.	
du	1	Some famous cellists are Yo-Yo Ma and Jacqueline du Pré.	
duarte	1	The highest mountain is called Duarte Peak.	
dubrovnik	1	Many people visit Croatia to swim in the clear water and see old cities like Dubrovnik.	
duck-billed	1	One platypus is called the duck-billed platypus.	
dumpty	1	You can hear it in nursery rhymes like "Humpty Dumpty" or "Twinkle, Twinkle, Little Star." When words like "cat" and "hat" sound alike at the end, that is a rhyme.	
dungeons	1	There are also dice with more sides, like in Dungeons and Dragons.	
dunno	1	Some slang words are short, like 'dunno' for 'I don't know'.	
dylan	1	Long ago, singers like Bob Dylan made protest songs about war.	
dysnomia	1	Eris has one small moon named Dysnomia.	
e-liz-a-beth	1	It is a long name with three parts: E-liz-a-beth.	
eagle's	1	It can have parts from different real animals, like a lion's body and an eagle's wings.	
eah	1	They make a loud sound that goes 'EAW EAH'." Donkeys eat grass and hay.	They make a loud sound that goes 'EAW EAH'. Donkeys eat grass and hay.
earp	1	One famous cowboy is called Wyatt Earp.	
easternmost	1	Eastern and easternmost are words about places far to the right on a map.	
eau	1	Cologne is also known for a special smell called Eau de Cologne.	
eaw	1	They make a loud sound that goes 'EAW EAH'." Donkeys eat grass and hay.	They make a loud sound that goes 'EAW EAH'. Donkeys eat grass and hay.
eclipses	1	Eclipses do not happen very often.	
eden	1	They lived in a beautiful garden called Eden.	
edgar	1	Other impressionist painters include Pierre-Auguste Renoir, Edgar Degas, and Mary Cassatt.	
edm	1	Some electronic music is made for dancing, and it is called EDM.	
edmond	1	A man named Edmond Halley figured out that it comes back again and again.	
edo	1	Long ago, Tokyo was called Edo and was a small fishing village.	
eft	1	This young newt is called an eft.	
egbert	1	Later, one king named Egbert became the first king of all England.	
eggnog	1	Some people also put a tiny bit on top of eggnog during winter holidays.	
eggplant	1	It is also called eggplant.	
egrets	1	Some herons are white and are called egrets.	
eider	1	Many birds live there, like eider ducks and puffins.	
eight-ball	1	There are many kinds of pool games, like eight-ball and nine-ball.	
eilat	1	Some towns by the Red Sea are Sharm el-Sheikh, Eilat, and Hurghada.	
eileithyia	1	She has two daughters named Hebe and Eileithyia, and two sons named Ares and Hephaestus.	
eisteddfod	1	They have a special festival called Eisteddfod where they sing and share stories.	
el-e-phant	1	Some words are short, like "go," and some are long, like "el-e-phant."	
el-sheikh	1	Some towns by the Red Sea are Sharm el-Sheikh, Eilat, and Hurghada.	
elbert	1	The highest part is called Mount Elbert.	
eleanor	1	Later, a queen named Eleanor married a king of England, and the city became part of England for a while.	
electrician	1	A mechanic, a plumber, and an electrician are all workers who fix things.	
element's	1	A chemical element's color can be red or yellow.	
eleonora's	1	One kind of falcon, called Eleonora's falcon, sometimes traps small birds in cracks in rocks to save them for later.	
elevated	1	People call it different names like subway, underground, tube, or elevated.	
elf	1	A fairy and an elf are small magic people.	
elgin	1	It also has the Elgin Marbles, which are stone carvings from Greece.	
eliza	1	Many people with this name are called Liz, Beth, or Eliza for short.	
elizabeth's	1	This is Elizabeth's bag.	
ellora	1	There are old caves called Ajanta and Ellora that people visit.	
elton	1	Some famous people like Bill Gates and Elton John have been made knights.	
embassy	1	An ambassador lives in a far-away country and works in a big house called an embassy.	
emile	1	One of the first cartoon makers was Emile Cohl.	
emir	1	The ruler of Qatar is called an emir.	
emirate	1	Each emirate is ruled by a leader.	
empanada	1	Then, you eat a tasty snack called empanada.	
empanadas	1	Yes, empanadas and steak are yummy.	
emperor's	1	Later, when the emperor's court became less strong, women did not write as many famous works.	
enemy's	1	Then, he moves it to block the enemy's hit.	
engaged	1	Married and engaged are both about two people who love each other.	
engels	1	Karl Marx and his friend Engels wrote hard books.	
enkidu	1	A famous story from there is about a king named Gilgamesh and his friend Enkidu.	
erasmus	1	The city also has a university called Erasmus University Rotterdam.	
erikson	1	Another man named Erik Erikson said children go through eight stages, and at each stage they learn to solve a problem between two feelings.	
eritreans	1	People from Eritrea are called Eritreans.	
esch	1	I know two cities there: Luxembourg City and Esch.	
escher	1	Escher made beautiful pictures with tessellations.	
eskimos	1	They are sometimes called Eskimos, but most Inuit do not like that name.	
espa	1	The word for Spanish in Spanish is "español." Spanish is also called Castilian because it came from a place called Castile.	
estonian	1	People there speak a language called Estonian.	
etruscan	1	The smallest shrew is the Etruscan shrew, which is only as long as your finger and very light.	
ett	1	For example, 'a house' is 'ett hus', and 'the house' is 'huset'.	
eur	1	Its name comes from putting "Eur" from Europe and "Asia" together.	
euromast	1	There is a tall tower called the Euromast that you can see from far away.	
europe's	1	The stories about Europe's past are about real people.	
evenks	1	The name "Lena" means "The Large River" in the language of the Evenks people who live nearby.	
ewe	1	A girl sheep is called a ewe.	
excel	1	Microsoft Excel and Google Sheets are two popular spreadsheet programs.	
exodus	1	These books are called Genesis, Exodus, Leviticus, Numbers, and Deuteronomy.	
expressionist	1	One famous expressionist painting is called "The Scream" by an artist named Edvard Munch.	
eyebrow	1	She looked at him with one eyebrow up.	
face-off	1	The game starts with a face-off, where two players try to get the ball first.	
familia	1	One famous church is called Sagrada Familia, and it is still being built.	
faneuil	1	You can see old places like Faneuil Hall and the Freedom Trail.	
faraday's	1	Michael Faraday's work helps us have lights and fans in our house.	
fars	1	He fars the toy.	
farsi	1	It is also called Farsi.	
fc	1	It is famous for its soccer team, FC Bayern Munich, which wins many games.	
feet-first	1	Diving is jumping into water head-first or feet-first.	
feldspar	1	Some rocks are very common, like quartz and feldspar.	
felipe	1	The king of Spain is Felipe the sixth.	
femur	1	The big bone in the leg is the femur.	
feng	1	There is a big party called Feng Shan that happens on the mountain.	
fenway	1	The Red Sox play baseball at Fenway Park.	
fidel	1	In 1959, a man named Fidel Castro led a revolution and took over the country.	
fiesta	1	There are two amusement parks: Six Flags Fiesta Texas and SeaWorld San Antonio.	
fifty-nine	1	It comes after fifty-nine and before sixty-one.	
fifty-seven	1	Many people live there, about fifty-seven million.	
filipino	1	You can hear it when Filipino families talk at home or sing songs.	You can hear it when families from the Philippines talk at home or sing songs.
filippo	1	Long ago, a man named Filippo Brunelleschi first showed how to do this.	
finale	1	The last part is called the finale.	The last part is called the end.
finch's	1	A finch's beak can change over time.	A small bird's beak can change over time.
finnan	1	Some smoked fish is called Finnan haddie.	
first-class	1	In a first-class lever, the middle is the fulcrum.	In a simple lever, the middle is the turning point.
first-degree	1	A first-degree burn hurts the top skin.	A small burn hurts the top skin.
first-hand	1	When you see something yourself, that is first-hand.	When you see something yourself, that is seeing it with your own eyes.
fitzgerald	1	Ella Fitzgerald was a jazz singer.	
five-minute	1	It is a five-minute walk.	It is a short walk.
fixer	1	My mom said to take the old shoe to the shoe fixer.	My mom said to take the old shoe to the shoe repair person.
fjeld	1	The tallest mountain is called Gunnbjorn Fjeld.	
flamboyance	1	A group of flamingos is called a flamboyance.	A group of flamingos is called a big group.
flamingo's	1	Please paint a flamingo's leg.	Please paint a pink bird's leg.
flattest	1	The Maldives is the flattest country.	The Maldives is the most flat country.
flautist	1	A person who plays the flute is a flautist.	A person who plays the flute is a flute player.
fleming	1	Alexander Fleming found the first antibiotic.	
fliers	1	They are very fast fliers and can dodge and turn quickly.	They are very fast flyers and can dodge and turn quickly.
flipbook	1	A flipbook is old animation.	A flipbook is an old way to make pictures move.
floaties	1	She put on her pink floaties and went in the water.	She put on her pink arm floats and went in the water.
floodplains	1	Farmers like to grow food on floodplains.	Farmers like to grow food on flat land near rivers.
flos	1	Okay, let's learn 'flos' which means flower.	
flossing	1	Brushing and flossing keep teeth clean.	Brushing and cleaning between teeth keep teeth clean.
flowerpot	1	I put a flowerpot in that space.	I put a pot for a plant in that space.
flown	1	I have never flown, but I am excited.	I have never been on a plane, but I am excited.
fluffed	1	He made his bed and fluffed the pillow.	He made his bed and made the pillow soft.
fluoride	1	Fluoride is the white stuff on your teeth.	The white stuff on your teeth is called fluoride.
flushes	1	I press it and the toilet flushes.	I press it and the toilet makes the water go down.
flyer	1	It is not a strong flyer, but it runs fast.	
fm	1	Some radios use AM or FM.	
fogs	1	Steam fogs up the mirror.	Steam makes the mirror cloudy.
folkestone	1	It connects Folkestone in England to Calais in France.	
folklore's	1	Folklore's magic is silly.	Old stories' magic is silly.
folks	1	We visit the old folks' home.	We visit the old people's home.
folkvang	1	She lives in a place called Folkvang.	
fon	1	People speak French, Fon, and Yoruba.	
fooling	1	They might not see when someone is fooling them.	They might not see when someone is tricking them.
footstools	1	I have two footstools in my room.	I have two small foot rests in my room.
forearm	1	Your arm has parts like the forearm.	Your arm has parts like the lower arm.
forehand	1	You can throw a disc with a forehand.	You can throw a disc with a front hand throw.
forged	1	You can see forged things at home.	You can see metal things made by hitting at home.
forgives	1	She forgives her stepsisters.	
forgiving	1	A mom shows mercy by forgiving a spill.	
format	1	The way information is arranged is its format.	The way information is set up is its format.
formosa	1	It is also called Formosa, which means beautiful.	
fortifications	1	Some fortifications are called forts or castles.	Some strong buildings are called forts or castles.
fortnight	1	A week and a fortnight are made of days.	A week and two weeks are made of days.
fortune	1	Wheel of Fortune is a game where people guess letters.	
forty-one	1	It comes after thirty-nine and before forty-one.	
forwarding	1	Thanks for forwarding the e-mail!	Thanks for sending the e-mail to someone else!
forwards	1	Each team has six players on the ice at once: three forwards, two back players, and a goalie.	Each team has six players on the ice at once: three front players, two back players, and a goalie.
fosse	1	Bob Fosse made up new jazz dances.	
founder	1	The founder of Pakistan was born in this city.	The person who started Pakistan was born in this city.
fours	1	The second system uses twos and fours.	
fourth-degree	1	A fourth-degree burn is the worst.	A very bad burn is the worst.
fox's	1	The fox's fur is white like snow.	
fractures	1	Two bone fractures are more than one.	Two bone breaks are more than one.
fragile	1	Weak, thin, and fragile are not strong.	Weak, thin, and easy to break are not strong.
francesinha	1	Last, you eat a tasty sandwich called a francesinha.	
franciscans	1	He started a group called the Franciscans, where people promised to be poor and kind.	
frankfurt	1	Dresden has an airport where planes fly to other cities like Frankfurt and London.	
franks	1	Charlemagne was a king of the Franks.	
franz	1	A long time ago, a man named Franz Ferdinand was killed, and that started a big war.	
fraternal	1	Fraternal twins are like regular brothers and sisters who are born together.	Twins that are like regular brothers and sisters are born together.
fred	1	The most famous ballroom dancers were Fred Astaire and Ginger Rogers, but they danced in movies.	
frederik	1	Denmark is a kingdom with a king named Frederik X.	
freight	1	There are passenger trains for people and freight trains for boxes.	There are trains for people and trains for boxes.
freud's	1	Can you see Sigmund Freud's ideas?	
fu	1	She learned to use a sword and practiced kung fu.	
fuark	1	The first six rune letters are F, U, A, R, K, and that is why the rune alphabet is called Fuark.	
funny-looking	1	Lily found a funny-looking vegetable at the store.	
gaberones	1	Long ago, the city was called Gaberones.	
gabs	1	People sometimes call it "Gabs" or "G-City" for short.	
gaga	1	Some pop stars you might know are Ariana Grande, Katy Perry, and Lady Gaga.	
gaggle	1	A group of geese is called a gaggle.	
galdhpiggen	1	The highest mountain in Norway is called Galdhpiggen.	
galen	1	Avicenna, Plato, and Galen are all old thinkers.	
galerie	1	King Henry IV added a very long room called the Grande Galerie.	
gambians	1	People who live there are called Gambians.	
ganesh	1	Every year, there is a big party called the Ganesh Festival.	
gaozu	1	Wu Zetian, Li Shimin, and Gaozu are rulers of the Tang dynasty.	
garam	1	In India, people use garam masala spices.	
gardenias	1	Gardenias like a lot of water in the air.	White flowers like a lot of water in the air.
garfield	1	Cricket is the national sport, and famous players like Sir Garfield Sobers come from there.	
geghard	1	Then, you ride a bus to see a church called Geghard.	
genesis	1	These books are called Genesis, Exodus, Leviticus, Numbers, and Deuteronomy.	
genji	1	One famous story is about a prince named Genji.	
geoffrey	1	Later, a man named Geoffrey Chaucer wrote funny stories called The Canterbury Tales.	
geographer	1	A person who studies geography is called a geographer.	A person who studies the earth is called a geographer.
georges	1	Two artists named Pablo Picasso and Georges Braque started Cubism.	
gerbils	1	Some people keep hamsters, guinea pigs, and gerbils as pets.	Some people keep small furry animals as pets.
germanium	1	Silicon and germanium are used inside computers.	Special stuff is used inside computers.
gershwin's	1	In America, jazz music mixed with classical music, like in George Gershwin's songs.	
get-going	1	Get-going is fast.	
geul	1	Each block makes one sound, like 'han' or 'geul'.	
ghalib	1	Some famous Urdu poets are Mirza Ghalib and Muhammad Iqbal.	
gibson	1	Some famous companies that make them are Fender and Gibson.	
gillard	1	Julia Gillard became the first woman to lead Australia.	
gitega	1	The capital city is Gitega.	
glaswegians	1	People who live there are called Glaswegians.	
globules	1	Bok globules are dark clouds in space.	
gold-colored	1	Brass is a shiny, gold-colored metal.	Brass is a shiny, yellow metal.
goldie	1	Its name is Goldie.	
golfer	1	A golfer uses a club.	A person who plays golf uses a club.
goodall	1	Mary Wollstonecraft and Jane Goodall are women.	
goodbyes	1	I do not like goodbyes that mean I will not see someone again.	I do not like saying bye when I will not see someone again.
gospels	1	Four books are called Gospels.	Four books are called the Gospels.
goulash	1	They eat a thick soup called goulash.	
governor's	1	The governor's pardon made the room quiet.	The leader's pardon made the room quiet.
governors	1	The British Empire sent ships, soldiers, and governors to rule far places.	The British Empire sent ships, soldiers, and leaders to rule far places.
gracie	1	A man named Helio Gracie made it up.	
granaries	1	Granaries are very old.	Places to keep grain are very old.
granddad	1	In the garden, my granddad waters the flowers.	In the garden, my grandpa waters the flowers.
granddad's	1	I love my granddad's jokes.	I love my grandpa's jokes.
gras	1	Haiti has many holidays, and the biggest one is called Mardi Gras.	
gravche	1	Last, you eat tasty food called tavche gravche.	
great-grandfather	1	My great-grandfather had smallpox when he was a child.	My grandpa's dad had smallpox when he was a child.
great-grandma	1	My great-grandma had smallpox when she was little.	My grandma's mom had smallpox when she was little.
greek's	1	That is the Greek's boat.	That is the boat of the person from Greece.
green-yellow	1	It makes a green-yellow juice called bile.	
greenlandic	1	The people there speak Greenlandic and Danish.	
grendel	1	A long time ago, a man named Beowulf went to help a king whose people were being hurt by a scary monster named Grendel.	
grendel's	1	Then Grendel's mother came, and Beowulf fought her.	
grimm	1	Two brothers named Jacob and Wilhelm Grimm wrote it.	
gripper	1	Yes, if it has a hand or a gripper.	Yes, if it has a hand or a grabber.
grossglockner	1	The tallest mountain is Grossglockner.	
ground-up	1	Sausage is a food made from ground-up meat.	Sausage is a food made from meat that is cut up very small.
grouped	1	They looked like tiny stars grouped together.	They looked like tiny stars put together.
guayaquil	1	The biggest city is Guayaquil on the coast.	
guernsey	1	People also use it in some other places like the Isle of Man and Guernsey.	
guido	1	A monk named Guido helped make the system we use now.	
guinea-bissau	1	It is next to six other countries: Guinea-Bissau, Senegal, Mali, Ivory Coast, Liberia, and Sierra Leone.	
guitarist	1	A person who plays a guitar is called a guitarist.	A person who plays a guitar is called a guitar player.
gujarat	1	Vadodara is a big city in Gujarat, India.	
gujarati	1	They speak Gujarati, Urdu, Marathi, and Hindi.	
gulliver's	1	A long time ago, a writer named Swift wrote a book called 'Gulliver's Travels' that made fun of people.	
gumbo	1	New Orleans is famous for yummy food like gumbo and jambalaya.	
gummies	1	Mom goes to the store to buy vitamin gummies.	
gummy	1	A cracker is hard, but a gummy candy is soft.	
gumnut	1	The fruit is called a gumnut.	
gunk	1	Next, fats float to the top and solids sink, and that gunk is called sludge.	Next, fats float to the top and solids sink, and that yucky stuff is called sludge.
gunnbjorn	1	The tallest mountain is called Gunnbjorn Fjeld.	
gunner	1	A tank usually has three to five people inside: a driver, a leader, and a gunner.	A tank usually has three to five people inside: a driver, a leader, and a shooter.
gutter	1	If you miss, the ball can fall into a gutter on the side.	If you miss, the ball can fall into a low path on the side.
gyeongbokgung	1	Seoul also has old castles like Gyeongbokgung and a big door called Sungnyemun.	
gym's	1	The gym's doors are open wide.	
gypsies	1	There are also many Roma people, sometimes called gypsies.	
haast's	1	The biggest eagle that ever lived was called Haast's eagle.	
habitable	1	The place where a planet is not too hot and not too cold is called the habitable zone.	The place where a planet is not too hot and not too cold is called the just-right zone.
haddie	1	Some smoked fish is called Finnan haddie.	
hafeet	1	There is a tall mountain called Jabal Hafeet.	
hag	1	The capital city is Hagåtña, and the biggest city is Dededo.	
hagta	1	The island has a city called Hagta and a busy beach called Tumon Bay.	
haha	1	Haha, let's keep sharing!	
haikus	1	There are many kinds of poems, like nursery rhymes and haikus.	There are many kinds of poems, like nursery rhymes and short poems.
haircutting	1	Dentistry and haircutting are both things you visit a special place for.	
haitian	1	Many people in Haiti speak French and a language called Haitian Creole.	
hakainde	1	The current leader is Hakainde Hichilema.	
halite	1	The salt you eat is a mineral called halite.	
halley	1	A man named Edmond Halley figured out that it comes back again and again.	
halti	1	In Finland, the highest is Halti.	
halu	1	You eat a tasty dumpling called bryndzové halušky.	
ham-and-cheese	1	I made a ham-and-cheese sandwich.	I made a ham and cheese sandwich.
hamburg's	1	Many ships come to Hamburg's harbor because it is one of the biggest harbors in the world.	
hamburgs	1	I see two hamburgs on the big plate.	I see two hamburgers on the big plate.
hamilton	1	The capital city is Hamilton.	
hammocks	1	They grew food like beans and corn and slept in hammocks.	They grew food like beans and corn and slept in hanging beds.
hammurabi	1	Cyrus the Great and Hammurabi were old leaders who wrote good rules.	
hanamichi	1	Kabuki theaters have a round stage that can turn around, and a walkway called a "hanamichi" that goes through the audience.	Kabuki theaters have a round stage that can turn around, and a walkway called a "hanamichi" that goes through the people watching.
hanbok	1	If you wear a hanbok on a holiday, you are wearing traditional clothes.	
hand-painted	1	It is special because it was hand-painted.	It is special because it was painted by hand.
handballs	1	We have two handballs in the gym.	
handgun	1	Yes, some firearms are small like a handgun.	
handled	1	Everyone is safe when the explosive is handled with care.	Everyone is safe when the bomb is handled with care.
handprints	1	Some also show handprints.	
handrail	1	Then I hold the handrail and put one foot down on the first step.	Then I hold the rail and put one foot down on the first step.
hands-on	1	You might take a written test, a test on a computer, or a hands-on test like driving a car.	You might take a written test, a test on a computer, or a doing test like driving a car.
hangars	1	There are also hangars where planes sleep when they are not flying.	There are also big buildings where planes sleep when they are not flying.
hangugeo	1	In South Korea, people call it "hangukmal" or "hangugeo." In North Korea, they call it "choseonmal" or "choseoneo.Koreans also call their language 'urimal,' which means 'our language.'" Korean has its own special alphabet called Hangul.	
hangukmal	1	In South Korea, people call it "hangukmal" or "hangugeo." In North Korea, they call it "choseonmal" or "choseoneo.Koreans also call their language 'urimal,' which means 'our language.'" Korean has its own special alphabet called Hangul.	
hanks	1	Tom Hanks is a famous actor.	
hannibal	1	A famous man named Hannibal took elephants across big snowy mountains to fight.	
hanukkah	1	Jewish people celebrate special holidays like Passover and Hanukkah.	
hanzi	1	In Chinese, they are called "hanzi," which means "Han character." In Japanese, they are called "kanji." Each character stands for a whole word, not just a sound.	
harappa	1	Mohenjo-daro, Harappa, and Dholavira are old cities.	
harare	1	The capital city is Harare.	
hard-shelled	1	It eats small hard-shelled animals like crabs and clams.	
hard-to-remember	1	Many famous stories have a hard-to-remember title.	
hard-working	1	Many people remember her as a brave and hard-working person.	
harden	1	Last, it waits for the new shell to harden.	Last, it waits for the new shell to get hard.
hardwood	1	There are many kinds of wood, like softwood and hardwood.	There are many kinds of wood, like soft wood and hard wood.
haribo	1	Many companies make candy, like Hershey and Haribo.	
harker	1	In the story, a man named Jonathan Harker goes to a faraway place called Transylvania to meet a rich man named Dracula.	
harmattan	1	In the dry season, a hot wind called the harmattan blows.	
harold	1	In old movies, Charlie Chaplin, Buster Keaton, and Harold Lloyd are all funny men.	
harpies	1	Yes, some monsters like the Harpies have wings in Greek mythology.	Yes, some monsters like the Harpies have wings in Greek stories.
harpsichord	1	Some keyboard instruments are very old, like the harpsichord.	
harvesting	1	Harvesting a potato is easy because you just dig it up.	Getting a potato is easy because you just dig it up.
harvey	1	Later, a doctor named William Harvey found out that blood moves around the body.	
hasbro	1	Action figures were first made in 1964 by a company called Hasbro.	
hassan	1	The president is Samia Suluhu Hassan.	
hatching	1	You can also use hatching, which is drawing many little lines close together.	You can also draw many little lines close together.
hatchlings	1	Baby Triceratops were called hatchlings and grew up to be big and strong.	Baby Triceratops were called babies and grew up to be big and strong.
hates	1	She hates the taste of her antibiotic.	She does not like the taste of her medicine.
hatshepsut	1	Most pharaohs were men, but a few women, like Hatshepsut, also became pharaohs.	
hatter	1	She talked to a crazy hatter at a tea party.	She talked to a silly hat maker at a tea party.
hawa	1	Then, you look at the Hawa Mahal with many small windows.	
hawk-eagle	1	The national bird is the Javan hawk-eagle.	
haystacks	1	It is stored in piles called haystacks or tied into blocks called bales.	It is kept in big piles or tied into blocks.
head-first	1	Diving is jumping into water head-first or feet-first.	Diving is jumping into water with your head first or your feet first.
headaches	1	Some people put lavender in medicine to help with headaches or bug bites.	Some people put lavender in medicine to help with head pain or bug bites.
headfirst	1	Last you stretch your arms out and go into the water headfirst.	Last you stretch your arms out and go into the water with your head first.
heading	1	A title and a heading are both words at the top of a page.	
heartburn	1	That is called heartburn.	That is called a burning feeling in your chest.
heaton	1	In the city, there is a big park called Heaton Park where people can see animals and enjoy nature.	
hedge	1	A hedge is like a wall of bushes.	A hedge is like a wall made of bushes.
hehe	1	Hehe, I love flying!	
heian	1	In one old time called the Heian period, many women wrote beautiful stories.	
heinz	1	A long time ago, a man named Heinz made ketchup famous.	
heiress	1	A girl who gets a lot of money is called an heiress.	A girl who gets a lot of money is called a rich girl.
hel-lo	1	Hello sounds like a short song with two parts: hel-lo.	
helio	1	A man named Helio Gracie made it up.	
helipad	1	A helipad is a place for helicopters to land.	
hemispheres	1	The brain has two parts called hemispheres.	The brain has two parts called halves.
hemoglobin	1	They are red because they have something inside called hemoglobin.	They are red because they have something inside that carries air.
henri	1	Another artist named Henri Matisse painted people dancing with bright colors.	
herculaneum	1	A long, long time ago, in the year 79, it erupted very strongly and covered two towns, Pompeii and Herculaneum, with ash.	
herschel	1	You cannot see it without a big telescope, but a long time ago a man named William Herschel found it while looking at the stars.	
hershey	1	Many companies make candy, like Hershey and Haribo.	
hertz	1	We measure how fast something happens in hertz.	We measure how fast something happens in a unit called hertz.
hestia	1	Her brothers and sisters are Zeus, Hestia, Demeter, Hades, and Poseidon.	
hi-five	1	A hi-five is when you slap hands with someone.	
hi-yah	1	You shout "Hi-yah!" to show your power.	
hibernating	1	Some bears sleep all winter, which is called hibernating.	Some bears sleep all winter, which is called a long sleep.
hichilema	1	The current leader is Hakainde Hichilema.	
hideyoshi	1	A man named Toyotomi Hideyoshi built a big castle there.	
hierro	1	There are seven big islands: La Palma, La Gomera, El Hierro, Tenerife, Gran Canaria, Lanzarote, and Fuerteventura.	
highland	1	The Highland cow has long, shaggy hair.	
hillbrow	1	The city has a very tall building called the Carlton Centre and a very tall tower called the Hillbrow Tower.	
hilt	1	A sword has a blade and a handle called a hilt.	A sword has a blade and a handle.
himalaya	1	Bhutan is a small country high up in the Himalaya mountains.	
himalayan	1	The tall Himalayan mountains are in the north.	
himiko	1	Then a queen named Himiko brought many parts together.	
hin	1	Some famous places are Ko Samui, Pattaya, and Hua Hin.	
hindenburg	1	The most famous airship was called the "Hindenburg." It was very big and could carry many people.	
hip-hop	1	Hip-hop is music with rapping.	Hip-hop is music with fast talking.
hiram	1	Hiram Bingham found the city in 1911.	
historians	1	People who study the past are called historians.	People who study the past are called history people.
historic	1	Old trams are called historic streetcars.	Old trams are called old streetcars.
hobbes	1	John Locke and Thomas Hobbes are both people who thought about rules.	
hobbits	1	Tolkien used runes in his books about hobbits and elves.	Tolkien used runes in his books about small people and elves.
